latitude,longitude,name,class,mass,year,imageUrl
49.76615676,37.57015956,30319,TRUE,7,2022,
50.55200299,30.21474,30318,TRUE,3,2023,
50.07005861,36.3722456,30316,TRUE,8,2023,
49.38891301,36.874842,30315,TRUE,2,2022,
49.01883334,37.75886111,30314,TRUE,5,2023,
50.93214457,29.91233987,30312,TRUE,9,2023,
50.75813315,31.01438684,30310,TRUE,9,2022,
49.03080601,37.140188,30309,TRUE,3,2022,
48.99189879,37.07975342,30308,TRUE,1,2023,
49.57230001,37.68772999,30304,TRUE,5,2022,
49.71488951,36.9063401,30303,TRUE,2,2023,
50.2425602,36.94467992,30302,TRUE,10,2022,
49.16233741,36.89194762,30301,TRUE,9,2023,
49.19911001,37.20878,30300,TRUE,4,2022,
49.20827301,37.208135,30299,TRUE,9,2023,
50.22833462,30.23295,30295,TRUE,6,2023,
50.01959858,36.13506202,30294,TRUE,10,2022,
51.503653,31.293167,30293,TRUE,3,2023,
51.79664187,34.3193,30292,FALSE,3,2023,
49.65973478,37.71469709,30290,TRUE,4,2022,
49.03920201,37.126899,30287,TRUE,8,2023,
49.65371101,36.743352,30281,TRUE,9,2023,
49.66189301,36.753169,30280,TRUE,2,2023,
48.3829595,31.18224366,30279,TRUE,6,2022,
49.34287658,37.66478,30277,TRUE,1,2022,
48.3829595,31.18224366,30276,TRUE,6,2023,
47.853748,35.157139,30275,TRUE,4,2023,
50.25626105,36.08935,30274,TRUE,6,2023,
49.74712298,36.95999,30271,TRUE,7,2022,
48.3829595,31.18224366,30269,TRUE,4,2023,
49.74712298,36.95999,30267,TRUE,7,2023,
49.39642301,37.205646,30265,TRUE,2,2022,
50.55942468,30.82308821,30264,TRUE,5,2022,
48.3829595,31.18224366,30263,TRUE,3,2023,
50.56789272,30.10125,30262,TRUE,5,2023,
49.71532001,36.83095,30261,TRUE,4,2022,
49.19059401,36.8861612,30260,TRUE,2,2022,
49.63345593,37.68814674,30259,TRUE,4,2022,
49.74712298,36.95999,30258,TRUE,3,2022,
49.74712298,36.95999,30256,TRUE,2,2023,
50.25123236,36.94895,30253,TRUE,5,2023,
50.584981,30.235748,30252,TRUE,7,2023,
50.10674301,30.6256,30249,TRUE,9,2023,
50.10674301,30.6256,30248,TRUE,7,2023,
50.584981,30.235748,30247,TRUE,2,2023,
51.45525355,31.19389,30246,TRUE,7,2023,
50.91443242,29.94979,30245,TRUE,1,2023,
50.083301,36.24572929,30243,TRUE,2,2022,
48.13373101,37.073686,30242,TRUE,9,2023,
49.72745556,36.92830047,30239,TRUE,1,2022,
49.26741357,37.6029864,30238,TRUE,4,2022,
49.34258867,37.56745347,30237,TRUE,10,2022,
50.8572013,30.59707,30234,TRUE,9,2023,
49.64004166,36.79559873,30233,TRUE,8,2023,
49.17502873,37.43499894,30232,TRUE,7,2022,
50.67381209,30.06728,30231,TRUE,6,2023,
50.46098609,29.81188,30229,TRUE,10,2023,
50.70433441,30.29361782,30228,TRUE,2,2022,
49.78819361,36.10049215,30227,TRUE,7,2022,
49.80613765,36.73200666,30225,TRUE,9,2023,
49.47030355,36.78756359,30224,TRUE,5,2022,
50.77265274,30.66303,30221,TRUE,2,2022,
49.24009146,37.72028,30220,TRUE,3,2023,
49.23212096,37.74202377,30219,TRUE,10,2023,
49.13225803,37.24162161,30218,TRUE,10,2022,
51.1601918,31.86507,30215,TRUE,8,2022,
50.07586058,36.87159313,30213,TRUE,3,2023,
50.1160911,36.11977658,30204,TRUE,5,2023,
50.51871679,30.2395,30201,TRUE,3,2023,
50.48436382,29.64025,30200,TRUE,6,2023,
49.20381298,37.27875335,30199,TRUE,9,2023,
50.40552342,29.89151,30194,TRUE,8,2023,
50.48436382,29.64025,30190,TRUE,2,2022,
50.26253601,36.175787,30185,TRUE,7,2022,
49.13338122,37.23342,30183,TRUE,1,2023,
51.60107753,31.23062157,30182,TRUE,6,2023,
49.30421228,37.64582,30181,TRUE,3,2022,
49.4166667,27,30179,FALSE,1,2023,
50.584981,30.235748,30178,TRUE,2,2022,
49.62818708,36.39662219,30177,TRUE,6,2023,
49.21402,37.28790001,30176,TRUE,6,2023,
49.55326991,36.62697684,30175,TRUE,5,2023,
49.8106551,36.34793764,30167,TRUE,2,2023,
49.40102779,32.11580556,30166,TRUE,1,2023,
51.46124329,31.30539633,30164,TRUE,7,2023,
48.40292901,37.909401,30163,TRUE,6,2022,
49.1476998,37.2554731,30161,TRUE,2,2022,
50.59135849,30.20734375,30158,TRUE,4,2022,
50.48436382,29.64025,30149,TRUE,3,2023,
49.54888869,37.43037,30144,TRUE,2,2022,
49.21628001,37.26084004,30140,TRUE,10,2022,
50.52232718,30.79464937,30135,TRUE,10,2023,
50.69697959,29.5869,30134,TRUE,2,2022,
50.67759243,30.30553511,30132,TRUE,10,2023,
49.35151656,37.75473094,30113,TRUE,8,2023,
51.34567088,32.87794,30112,TRUE,2,2023,
51.503653,31.293167,30109,TRUE,9,2022,
50.48807736,29.63784674,30101,TRUE,10,2022,
49.37758318,37.62599,30100,TRUE,2,2023,
48.9166667,24.7166667,30095,TRUE,1,2023,
50.28053003,36.93677001,30094,TRUE,5,2022,
50.47997617,30.21987927,30090,TRUE,7,2022,
50.80809965,29.5480124,30089,TRUE,6,2023,
49.62478748,36.34343,30082,TRUE,3,2023,
48.28138901,37.190706,30081,TRUE,2,2022,
50.20978358,36.42087,30079,TRUE,6,2023,
50.03692026,36.2685,30069,TRUE,8,2022,
50.9229301,30.35093499,30068,TRUE,6,2023,
48.779501,29.8546,30062,TRUE,4,2022,
48.88837221,31.52929103,30061,TRUE,8,2022,
50.18218401,30.31202,30050,TRUE,6,2023,
50.59192376,30.90444,30049,FALSE,10,2022,
50.89132107,29.7124,30048,TRUE,10,2022,
50.584981,30.235748,30020,FALSE,1,2022,
46.4666667,30.7333333,30019,TRUE,6,2022,
51.54514158,33.82055,30018,TRUE,10,2022,
50.584981,30.235748,30017,FALSE,9,2023,
50.584981,30.235748,30016,FALSE,4,2022,
50.60119208,30.31927,30015,FALSE,4,2023,
46.4666667,30.7333333,30014,TRUE,2,2022,
50.584981,30.235748,30013,TRUE,5,2023,
50.13473506,30.73936,30003,TRUE,8,2023,
51.503653,31.293167,29997,TRUE,1,2022,
50.6010158,30.70317185,29994,TRUE,3,2023,
50.49907728,30.17364918,29993,TRUE,9,2022,
49.71619001,36.8195,29991,TRUE,8,2022,
